Description,Name,GTEX-11DXY-0526-SM-5EGGQ,GTEX-11DXZ-0126-SM-5EGGY,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-11GSP-0626-SM-5986T,GTEX-11NUK-1226-SM-5P9GM,GTEX-11OF3-0726-SM-5BC4Z,GTEX-11TT1-1726-SM-5EQLJ,GTEX-11TUW-1726-SM-5BC5C,GTEX-11WQC-0726-SM-5EQMR,GTEX-11ZTS-1426-SM-5EQMM,GTEX-11ZUS-2526-SM-59872,GTEX-11ZVC-0726-SM-5FQT9,GTEX-1212Z-0226-SM-59HLF,GTEX-12696-0826-SM-5EGGE,GTEX-1269C-0626-SM-5FQSS,GTEX-12KS4-1326-SM-5LUB3,GTEX-12WSD-1426-SM-5GCN9,GTEX-12WSG-0626-SM-5FQTQ,GTEX-12WSL-0226-SM-5CVMJ,GTEX-13113-1326-SM-5GCOI,GTEX-131XE-0326-SM-5LZVO,GTEX-131XH-0626-SM-5LZWH,GTEX-131YS-1626-SM-5HL6C,GTEX-132AR-0426-SM-5IFH8,GTEX-132NY-0926-SM-5P9G3,GTEX-1399R-1226-SM-5P9GF,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-1426-SM-5IFJD,GTEX-139TU-0826-SM-5IJFG,GTEX-13FTW-1126-SM-5J2NV,GTEX-13N11-0926-SM-5IJG2,GTEX-13N2G-0926-SM-5IFGJ,GTEX-13NYB-1026-SM-5IFH3,GTEX-13O1R-2026-SM-5KM3N,GTEX-13O3O-1826-SM-5IFGW,GTEX-13OW6-2626-SM-5IFF2,GTEX-13PVQ-1526-SM-5IFEQ,GTEX-13PVR-0126-SM-5S2PY,GTEX-13QJC-0726-SM-5RQJK,GTEX-13SLX-1226-SM-5S2Q6,GTEX-13VXU-0926-SM-5IFFH,GTEX-144GL-1426-SM-79OMA,GTEX-144GM-1326-SM-5LU5E,GTEX-145MF-0826-SM-5QGQA,GTEX-145MO-2326-SM-5NQ9K,GTEX-146FH-1526-SM-5NQBU,GTEX-14753-1626-SM-5NQ9L,GTEX-147F4-1426-SM-5LUA8,GTEX-147GR-1326-SM-7IGLB,GTEX-147JS-1126-SM-5RQIW,GTEX-148VI-0626-SM-5TDDH,GTEX-1497J-0726-SM-5Q5D1,GTEX-14A5I-1726-SM-5QGQ5,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14BIL-1326-SM-79OMR,GTEX-14C38-1526-SM-5RQJ7,GTEX-14DAQ-1726-SM-5S2R2,GTEX-14E1K-0326-SM-5S2PE,GTEX-14E7W-1526-SM-6871X,GTEX-14JG1-1626-SM-664NH,GTEX-14PHX-0526-SM-664NW,GTEX-14XAO-0226-SM-68728,GTEX-15DYW-1326-SM-6LPIV,GTEX-15ER7-1826-SM-6LLI7,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-15RJE-1126-SM-6LPI5,GTEX-15SHU-1826-SM-7KUKS,GTEX-17F96-1226-SM-79OK2,GTEX-17HHE-0126-SM-79398,GTEX-17HII-1026-SM-7IGLY,GTEX-17MF6-1126-SM-7DUFS,GTEX-18465-1626-SM-7LG6N,GTEX-18A66-2026-SM-7189C,GTEX-18A6Q-2026-SM-718AQ,GTEX-18A7A-1526-SM-72D69,GTEX-18D9B-1526-SM-7KFRK,GTEX-1A32A-0826-SM-72D5C,GTEX-1A8FM-1226-SM-7IGMD,GTEX-1A8G7-1126-SM-731ED,GTEX-1AMFI-0826-SM-731DV,GTEX-1AX8Z-1026-SM-7189R,GTEX-1AX9I-1626-SM-72D5D,GTEX-1B8L1-0726-SM-7P8RT,GTEX-1B8SG-1326-SM-79ONT,GTEX-1B932-1426-SM-793AN,GTEX-1B933-1226-SM-731DW,GTEX-1B996-1426-SM-7EPIA,GTEX-1BAJH-1526-SM-7RHGI,GTEX-1C6VQ-1626-SM-79OO1,GTEX-1CB4F-1726-SM-7MGXH,GTEX-1CB4J-0726-SM-7IGN8,GTEX-1E2YA-1226-SM-7MGY3,GTEX-1EH9U-1126-SM-7IGLU,GTEX-1EKGG-1226-SM-7IGNO,GTEX-1EWIQ-0726-SM-7MKFW,GTEX-1F75A-1626-SM-9JGGT,GTEX-1GF9V-1226-SM-7MKGY,GTEX-1GF9W-0826-SM-7MKHI,GTEX-1GF9X-0426-SM-7MKHN,GTEX-1GN1U-0926-SM-9WPPY,GTEX-1GN2E-0926-SM-9WPOH,GTEX-1GN73-1126-SM-9OSW5,GTEX-1GZ4I-1526-SM-9OSW9,GTEX-1H11D-0826-SM-9OSWB,GTEX-1HB9E-0626-SM-AHZ4K,GTEX-1HBPH-2626-SM-A96TV,GTEX-1HBPI-1026-SM-AHZ4N,GTEX-1HCVE-1526-SM-B2LWW,GTEX-1ICG6-1026-SM-B2LY6,GTEX-1ICLY-1526-SM-C1YS4,GTEX-1IKJJ-1526-SM-C1YSC,GTEX-1IKK5-0326-SM-C1YPY,GTEX-1J8EW-1626-SM-C1YQ8,GTEX-1JJEA-1526-SM-CNNPK,GTEX-1JMLX-1326-SM-CXZJO,GTEX-1K9T9-0726-SM-CXZJZ,GTEX-1KAFJ-0726-SM-CXZKF,GTEX-1KANB-2226-SM-DHXJW,GTEX-1KD5A-1226-SM-CXZK7,GTEX-1KWVE-0326-SM-EV7AF,GTEX-1LGRB-0626-SM-CNNQH,GTEX-1LH75-0926-SM-EAZ5C,GTEX-1MJIX-0726-SM-DPRYP,GTEX-1NV8Z-1626-SM-DPRYT,GTEX-1PBJJ-0626-SM-DPRYO,GTEX-1PIIG-1326-SM-EXOIR,GTEX-1QCLZ-1226-SM-EAZ49,GTEX-1QP66-0226-SM-DPRXS,GTEX-1QP6S-1326-SM-DPRZ8,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1R9JW-0826-SM-DPRZJ,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-O5YT-0826-SM-3TW8N,GTEX-OIZF-0826-SM-3MJGO,GTEX-OOBJ-0826-SM-3NB2K,GTEX-P44G-1126-SM-3NM9D,GTEX-P78B-1326-SM-3P611,GTEX-PX3G-0826-SM-48TZS,GTEX-Q2AG-1126-SM-48U1P,GTEX-Q734-0326-SM-48U15,GTEX-QDVN-0826-SM-48TZ2,GTEX-QEG4-1826-SM-CKZN9,GTEX-QEL4-1226-SM-447A4,GTEX-QESD-2026-SM-447BI,GTEX-QV44-0326-SM-C1YQX,GTEX-R53T-0326-SM-48FEC,GTEX-REY6-1226-SM-48FDR,GTEX-RM2N-1926-SM-48FCU,GTEX-RN64-1826-SM-48FDV,GTEX-RNOR-1426-SM-48FDJ,GTEX-RTLS-1326-SM-46MUN,GTEX-RU72-1426-SM-46MUF,GTEX-RWSA-1426-SM-47JXA,GTEX-S32W-1926-SM-4AD63,GTEX-S33H-1626-SM-4AD68,GTEX-S4Z8-0526-SM-4AD4T,GTEX-SJXC-1226-SM-4DM78,GTEX-T6MN-1226-SM-3NMA5,GTEX-TKQ2-1726-SM-4DXUP,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U8XE-1526-SM-4E3HT,GTEX-UPK5-1426-SM-4JBHH,GTEX-UTHO-2426-SM-4JBHD,GTEX-VUSG-0126-SM-4KL1X,GTEX-WFON-1726-SM-4LVMQ,GTEX-WK11-1326-SM-4OOSI,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WY7C-0726-SM-4ONCB,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WZTO-0626-SM-4PQYY,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X4EO-1126-SM-4QARQ,GTEX-X4EP-1026-SM-4QAS5,GTEX-X4XY-1626-SM-46MVN,GTEX-XBEC-1526-SM-4AT68,GTEX-XXEK-1126-SM-4BRUX,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-YB5E-0326-SM-5IFHU,GTEX-YEC4-0826-SM-5P9FV,GTEX-YECK-1926-SM-4W21H,GTEX-YFC4-1526-SM-5IFJS,GTEX-Z9EW-0426-SM-5CVM9,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVT3-1626-SM-5GU66,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZZPU-0426-SM-5GZYH
RP11-122K13.7,ENSG00000226699.1,18.07,4.097,8.135,7.084,9.809,18.03,1.805,3.65,10.26,5.25,16.3,10.21,9.624,3.052,7.237,3.151,6.919,1.916,1.159,15.98,1.203,15.56,34.55,1.158,5.921,4.707,8.842,11.05,15.09,2.48,9.921,2.725,25.58,1.03,5.197,13.56,1.867,7.115,3.62,17.37,12.27,11.27,0.1888,15.02,3.978,1.649,7.524,9.544,5.351,4.183,8.451,8.78,9.869,2.758,20.47,0.1631,14.71,2.412,16.22,11.09,5.507,0.5552,15.51,15.8,1.406,2.385,50.52,46.28,2.896,5.353,34.03,12.13,2.297,14.26,9.796,2.205,4.952,8.007,8.043,12.94,0.875,16.44,11.69,1.591,0.8093,16.16,5.261,26.66,39.78,2.29,1.553,6.504,7.993,7.082,13.56,3.813,5.395,0.1786,1.577,10.38,6.923,7.117,16.32,2.313,6.286,11.27,6.846,19.81,13.37,0.9025,12.8,2.986,11.69,10.17,7.249,0.1409,3.035,18.06,2.303,24.57,2.189,0.2987,14.04,23.36,3.921,7.537,4.124,3.499,19.31,5.006,4.974,10.5,1.278,5.906,8.592,3.622,1.37,6.512,6.537,1.86,1.197,28.01,1.543,12.61,2.915,1.363,3.333,2.521,45.36,35.1,20.91,5.992,7.413,2.766,0.6256,1.963,11.4,18.36,0.9999,2.628,0,1.525,3.382,0.6567,1.111,5.191,1.73,5.498,7.019,30.65,5.38,4.893,9.396,0.9993,7.144,1.604,6.514,19.76,2.127,11.02,5.923,2.568,1.503,1.898,1.477,4.614,5.634,0.8608,0,1.966,22.47,10.67,7.374
PLSCR1,ENSG00000188313.12,5.992,11.76,12.98,7.891,7.106,10.17,60.7,31.88,10.74,7.459,4.514,23.86,7.067,20.62,33.39,26.96,9.799,19.86,17.46,9.074,54.14,6.186,5.054,52.29,14.8,10.29,10.73,24.94,9.049,24.69,14.97,14.95,17.21,42.43,39.33,20.29,72.1,18.28,7.588,43.87,7.628,4.292,37.35,9.866,15.9,19.78,5.68,18.14,13.18,9.031,27.75,15.6,11.17,15.27,7.874,23.93,12.42,15.58,8.392,8.425,15.92,33.4,12.56,7.995,32.04,8.157,5.638,8.649,16.51,15.49,19.16,5.975,25.43,7.673,11.39,27.68,28.94,15.14,18.47,15.23,34.45,28.92,7.478,32.9,33.72,6.907,10.13,8.546,9.851,10.86,21.3,12.51,7.615,6.765,4.582,5.162,6.642,32.41,15.65,9.978,5.527,19.45,9.588,9.5,23.24,15.52,10.1,5.984,14.64,42.37,8.878,28.47,11.04,9.296,13.94,50.8,24.79,9.596,23.8,4.999,12.15,33.97,5.936,3.686,17.61,2.913,14.94,28.77,9.882,10.65,12.76,12,46.95,12.86,13.49,54.94,10.63,9.206,9.338,16.09,46.79,4.924,38.01,12.35,16.76,13.79,18.29,34.79,5.148,7.14,11.36,13.32,21.16,30.29,23.71,14.15,6.15,8.337,30.27,29.81,43.1,18.29,26.09,28.99,17.92,2.167,11.86,11.53,19.84,3.871,12.31,20.32,26.66,57.08,5.224,36.06,16.18,12.44,35.7,21.36,9.033,24.55,21.45,13.63,19.92,11.14,11.28,41.88,40.68,13.4,16.68,5.957,15.7
ZBTB47,ENSG00000114853.13,2.245,3.898,5.635,2.077,2.387,3.26,11.36,4.99,3.332,2.29,1.207,1.798,2.026,5.763,3.92,4.948,2.719,17,4.407,2.678,7.893,2.179,2.645,9.103,3.619,3.655,3.144,3.101,3.064,5.077,5.911,3.183,3.287,22.11,5.204,2.898,5.534,3.822,1.202,2.619,1.746,2.265,11.33,3.077,3.114,7.943,1.782,5.392,4.471,2.183,6.697,4.787,2.438,2.942,3.63,8.208,2.805,3.04,3.387,1.977,3.536,6.923,4.172,1.948,5.315,5.267,2.149,2.955,4.481,2.413,6.325,1.382,3.372,2.125,2.491,7.162,4.141,2.712,2.378,3.662,4.989,1.809,2.062,11.06,3.952,3.3,8.487,3.271,3.976,3.343,8.9,4.196,2.439,1.541,2.156,1.003,3.106,6.604,4.321,3.133,1.692,2.898,3.43,2.687,3.311,3.788,1.875,2.801,2.488,5.678,2.143,8.111,2.29,2.164,2.094,7.946,4.955,2.923,3.901,2.157,6.874,9.389,2.911,3.348,5.427,1.462,2.885,3.397,4.092,5.88,2.526,2.202,23.22,3.613,4.159,8.274,3.066,3.416,3.223,5.847,19.38,2.919,5.943,2.867,3.877,4.604,4.36,6.452,2.559,2.674,3.623,3.135,3.365,11.25,5.003,4.567,2.532,2.289,5.284,2.68,5.988,3.094,10.97,4.178,4.691,2.223,3.831,5.227,6.403,2.312,3.358,3.728,5.254,7.859,4.012,6.98,4.328,3.523,6.981,4.634,2.23,2.89,3.061,3.788,4.577,6.396,4.308,5.353,4.86,3.792,3.196,1.55,4.027
RP1-239B22.5,ENSG00000260196.1,0.1922,0.3195,1.028,0.4521,0.1451,0.2557,3.127,1.686,0.5871,0.3655,0.2117,0.2301,0.1068,0.6364,0.4619,0.4692,0.2318,2.202,0.6039,4.635,3.456,0.3952,0.3219,3.738,0.2387,0.1707,0.3147,0.6846,0.6835,0.742,2.922,0.5798,0.2927,3.428,5.84,0.2455,2.789,0.4716,0.5926,0.4543,0.2772,0.06253,1.458,0.1392,0.5512,0.2572,0.2321,0.5645,0.7286,0.1699,0.5724,2.792,0.4872,0.3791,0.401,1.437,0.673,0.1385,0.1837,0.09382,0.8494,2.64,0.41,0.4706,0.7479,0.597,0.5012,0.4688,0.3511,0.4717,1.917,0.1416,1.14,0.08446,0.2241,4.072,0.9247,0.9254,0.5775,0.78,0.9866,0.5767,0.373,1.561,0.5338,1.062,1.679,0.2431,3.319,0.2111,8.168,0.6167,0.3924,0.1773,0.1794,0.2762,0.2603,4.422,2.144,0.3615,0.3493,1.409,0.1708,1.024,2.036,0.1556,0.2518,0.4414,0.2421,1.037,0.3169,1.009,0.3348,0.2424,0.694,1.403,0.8329,0.1999,1.166,0.4817,1.524,1.363,0.9411,0.2575,0.8209,0.2025,0.6185,1.262,0.5613,1.624,0.4167,0.5131,3.77,0.2154,0.1539,4.488,0.3147,0.4416,0.3623,1.128,3.729,0.4178,0.9567,1.511,0.1949,0.435,1.114,0.7375,0.4032,0.2463,0.5033,0.6454,1.072,2.421,1.304,0.3634,0.3382,0.2138,0.4339,0.6458,1.691,0.146,1.885,0.4505,0.1701,0.4024,0.5107,0.6141,0.4539,0.3757,0.3434,1.105,1.576,1.505,0.3204,1.228,0.6194,0.4864,1.852,0.3626,0.3828,1.158,0.4795,0.1432,0.2043,0.5553,0.1541,0.4505,3.338,0.6388,0.579,0.04935,0.2745
MYCL,ENSG00000116990.10,3.389,2.156,3.61,1.559,12.84,6.815,0.4316,0.3702,2.147,5.708,8.53,5.514,6.829,1.455,1.556,1.215,3.632,0.8675,2.343,2.316,1.245,11.63,3.638,1.999,3.529,5.01,9.696,5.195,5.487,1.639,1.224,3.746,8.192,2.017,0.3055,4.335,0.5896,1.884,1.491,7.019,6.738,4.168,0.1508,5.327,2.797,2.098,5.195,3.524,4.295,1.49,2.821,1.404,2.791,7.941,4.002,0.8874,6.204,9.999,4.195,9.888,3.41,1.235,10.84,6.876,0.7221,5.387,8.179,10.68,9.175,1.847,6.461,8.39,1.709,3.546,11.25,3.014,1.521,2.099,5.614,5.132,1.398,5.032,9.56,0.5069,1.601,9.452,4.396,2.318,2.653,4.742,2.502,4.333,2.169,9.889,3.836,5.225,9.831,0.2174,1.764,1.013,1.819,0.9476,4.301,3.678,3.079,1.037,2.895,5.972,2.659,1.045,5.845,1.423,4.807,9.791,2.398,0.6913,1.795,8.019,2.739,12.3,1.717,0.4715,1.565,7.673,1.331,5.425,2.898,0.9518,5.133,5.226,1.981,2.777,4.083,3.19,5.86,0.3283,3.98,2.849,3.462,1.684,2.724,14.71,1.543,9.612,2.666,5.279,1.126,0.8312,14.06,9.116,5.734,4.267,0.2935,1.315,1.563,1.905,15.9,7.738,0.8216,1.76,1.441,3.996,1.535,0.9305,3.726,7.128,2.649,7.933,3.542,9.058,2.038,2.047,3.21,0.6614,4.363,0.3225,3.995,8.386,1.624,1.746,6.506,2.271,0.9391,2.324,6.312,6.324,4.761,0.7138,0.8971,6.303,8.291,2.306,6.304
RP11-104J23.1,ENSG00000275944.1,1.915,7.105,1.143,1.93,3.351,2.26,0.3308,0.03716,3.178,1.562,1.295,3.035,2.17,2.263,0.7233,1.348,1.147,0.1639,0.5781,2.228,0.05146,1.29,5.092,0.2475,2.188,1.338,3,2.739,1.336,1.558,0.2121,1.651,2.584,0.3853,0.03368,1.782,0.03993,0.5852,0.6899,3.775,4.28,3.108,0.2826,2.875,0.4496,1.586,2.065,1.792,1.793,1.789,0.8482,2.084,0.6371,3.039,1.712,0.2093,2.937,0.593,9.231,5.115,2.339,0.4007,8.788,4.012,0.6765,1.196,5.537,3.272,6.191,1.076,1.588,2.309,3.22,10.14,4.466,0.8331,0.4314,1.782,3.397,1.384,0.7952,1.077,1.972,1.743,0.3461,4.135,1.738,2.338,0.3587,0.8975,0.4521,2.543,0.9532,5.478,3.623,0.4076,1.871,0.1527,3.254,3.492,1.876,0.47,0.9267,2.308,1.831,0.8795,2.345,3.996,2.858,0.193,3.66,0.6385,1.939,2.759,1.567,0.482,0.3245,11.27,1.067,6.016,0.5461,1.277,1.637,3.632,0.654,1.198,1.047,0.4115,1.17,6.036,2.127,3.522,0.2429,2.544,2.288,0.1139,0.9371,3.677,1.416,0.855,0.2048,2.002,0.9899,1.183,0.9794,3.76,1.132,0.3369,9.143,1.965,4.47,1.321,0.4044,0.6759,0.825,1.805,2.009,3.324,1.582,0.9554,0.3649,1.858,0.8918,0.2633,0.8787,0.19,0.763,0.8817,1.351,1.801,1.251,0.3219,0.5909,0.1709,1.693,0.049,1.421,4.18,1.137,0.7775,1.298,0.5835,0.5967,1.993,1.922,0.6766,2.409,0.5522,0.1316,0.3249,4.273,2.513,2.628
AC004160.4,ENSG00000230435.1,2.336,1.088,1.715,2.15,2.144,2.305,0,0.623,1.409,3.079,4.135,2.692,2.25,1.864,1.003,1.088,1.516,0,0.1538,1.208,0.2875,0.5691,3.124,0.0922,1.158,1.96,2.235,2.168,1.486,0.8643,1.524,1.23,1.475,0.1367,0.8781,3.867,1.19,0.9809,0.5641,2.948,3.309,1.106,0.1504,2.219,1.584,0.07296,1.298,2.596,1.634,0.6057,1.855,0.1185,1.187,1.014,1.534,0.1299,2.344,0.9605,2.814,1.224,1.34,0,5.029,4.457,0,1.534,3.043,3.901,1.845,2.538,4.585,4.242,0.5591,2.225,2.429,0.4099,1.753,4.094,2.563,0.2863,0.05808,2.183,2.691,0.8712,0.2149,2.633,0.3174,2.398,1.336,2.33,0.1031,1.998,1.041,2.433,1.448,1.149,1.1,0.4267,0.9422,1.729,1.026,0.9588,1.269,0.7984,0.4381,4.065,3.512,2.308,0.7914,0.2054,0.9887,2.378,2.686,3.293,1.444,0.1122,0.7252,4.991,1.223,3.498,0.3321,0.3569,0.5593,2.791,1.499,0.6714,0.2464,0.4181,0.8543,0.886,1.424,1.937,0.3393,1.546,1.381,1.018,0.6546,2.431,1.576,0.3703,0,1.88,0.1756,1.435,1.327,0,0.3123,1.004,5.302,3.806,1.753,1.566,0.5423,0,0,0,2.43,4.75,0.3982,0.785,0,0.3643,1.077,0.06538,1.592,0.4995,0.08613,0.5474,2.274,1.132,0.9317,1.349,2.348,0,2.768,0.1825,0.3177,2.923,0.2421,0.181,4.158,1.662,0.171,0.9623,1.079,0.8401,1.122,0.4799,0,0.9254,3.441,3.634,1.795
CTD-2194A8.2,ENSG00000262995.1,2.156,1.182,1.538,0.7091,1.923,2.367,0,0.04298,0.9188,1.723,0.8559,0.7429,1.294,0.7046,0.1945,0.8312,1.027,0.3318,0.6686,0.9005,0.1785,0.7068,1.016,0.458,1.49,2.196,1.472,0.7918,1.164,1.342,1.297,0.3146,1.091,0.2122,0.03895,2.22,0.1847,1.895,0.3892,1.056,0.8874,0.5654,0,0.719,0.7589,1.404,1.83,1.209,0.8823,0.4702,0.3412,0.2208,1.382,1.731,2.206,0.1614,1.456,0.4175,1.132,1.289,1.778,0.103,1.753,0.7489,0.2318,0.499,1.417,2.422,2.077,0.9455,0.9077,0.7316,0.5681,1.964,2.697,0.5454,0.5443,0.1873,0.547,2.963,1.19,1.942,1.942,0.2459,0.4003,1.029,0.1577,1.216,0.3556,1.195,0.1281,0.5515,0.4562,0.7555,1.962,0.3568,0.8135,0.3091,1.56,1.401,0.5574,0.3106,0.6935,2.326,0.5052,1.243,0.6026,1.017,1.966,0,0.9371,0.3041,1.631,2.045,0.8574,0.1742,0.7881,2.051,0.3797,1.052,0.7992,0.1847,0.3126,0.8402,0.5431,0.1962,1.479,0.8654,1.167,0.7909,1.307,0.4811,0.2809,3.422,1.379,0,1.694,0.8052,0.8509,0.5059,0.1777,0.753,0.4907,1.018,1.682,1.618,0.04849,1.663,2.009,2.818,1.497,0.7873,0.1497,0.342,0.5158,0.7284,1.152,1.16,0.544,1.365,0.0804,1.734,1.394,0.203,0.8789,0.1551,0.7487,0.8256,1.25,0.6527,2.083,0.6982,0.5012,0,1.624,0.17,1.315,1.78,0.7892,0.9273,0.9888,0.5955,1.009,2.305,1.279,1.369,1.344,0.9367,0.1522,0.7073,1.923,1.874,1.874
RP11-286H14.8,ENSG00000243230.1,4.526,2.579,0.506,3.898,5.584,4.741,0,0.3151,2.726,3.331,2.091,1.157,3.129,2.213,0.6417,1.238,1.019,0.6948,0.7876,0.5501,1.418,1.727,4.825,1.154,2.307,1.939,6.396,1.306,2.5,0.6322,1.413,1.482,0.6395,0.6999,0,3.57,0.1693,0.3721,0.7132,3.355,5.392,2.812,0.599,1.976,0,2.74,0.3978,0.9494,2.506,2.585,0.7034,1.551,1.772,3.942,2.756,0.5914,2.779,0.5465,2.253,4.118,1.109,0.8177,7.229,3.222,0.4248,0.7482,2.501,2.552,3.412,1.386,0.6805,3.151,1.851,5.664,8.795,0.2665,0.08312,0.8827,1.276,0.3258,1.322,1.41,3.808,0.721,1.834,7.434,1.589,3.119,0.543,1.268,0.07823,1.263,1.184,3.147,4.87,0.7005,1.789,0.3237,2.43,0.599,2.189,0.04743,0.8665,2.027,2.137,2.071,1.315,1.779,1.883,0.7012,1.066,1.114,3.94,4.759,0.4285,0.9577,1.238,10.36,1.113,3.359,1.323,0.8121,2.355,2.791,0.3554,0.4494,1.028,0.7136,0.9722,0.8192,0.7044,0.7052,0.2574,1.988,1.23,0,3.29,2.582,1.169,1.854,0.3256,1.449,1.598,3.032,1.761,4.201,0.4443,0,5.215,5.497,1.413,1.103,0.1371,0.8954,3.781,0.178,2.401,3.462,1.722,1.727,0.442,1.382,0.9195,1.637,0.604,1.137,0.8821,0.6229,1.866,6.808,1.272,0.597,0.2505,0,2.275,0.2077,0.723,4.413,0.06886,0.6179,1.946,1.091,0.1946,1.564,1.674,0.2987,2.097,1.092,1.394,0.9721,6.657,4.626,2.599
RP11-39H3.2,ENSG00000278965.1,2.947,1.896,0.5984,0.2978,3.63,2.652,0,0.02877,0.8882,4.061,1.257,0.4972,0.8888,0.348,0.1389,0.2782,0.8016,0.07401,0.2344,0.2679,0.07966,0.8672,2.02,0.07664,0.3439,2.426,4.362,0.5476,0.8326,0.3164,0.0391,0.391,0.5936,0.04733,0.03476,1.415,0.06181,0.3926,0.7815,0.4556,4.24,1.297,0,1.845,0.1379,0.1314,1.342,0.2954,0.8956,1.51,0.1808,0.6158,0.2568,0.9247,0.3355,0.036,0.8389,1.543,2.656,4.018,2.633,0.01532,1.552,0.6465,0.1034,0.1417,1.44,1.297,0.8307,0.5555,0.2025,1.053,0.8168,2.417,6.465,0.05678,0.4351,0.4418,1.087,1.071,0.6678,0.2942,4.212,0.03292,0.2977,0.8509,0.1231,3.112,0.1058,1.235,0.009523,0.5229,0.5343,2.957,3.53,2.155,1.474,0.08867,0.1827,0.9479,1.697,0.9066,0.211,1.727,0.2428,1.194,0.9026,1.64,1.764,0.128,1.038,0.1938,1.381,3.291,0.1217,0,0.3181,3.162,0.305,2.12,0.207,0,0.6044,3.772,0.7789,1.8,0.6541,0.2896,1.302,1.396,0.5574,2.196,0.1802,4.915,1.697,0.02351,1.073,2.077,1.158,0.4617,0.02642,1.47,0.04865,4.812,1.087,1.248,0.3353,0.4405,1.867,0.6286,0.1416,0.5166,0.1336,0.0654,0.06904,0.8775,2.277,3.209,0.1545,0.957,0,2.17,0.0995,0.2717,0.3186,1.697,0.5369,0.325,0.6919,1.837,0.6711,0.2181,0.06099,0.04411,0.4687,0,0.5721,1.799,1.786,0.2319,1.364,0.2303,0.5448,1.419,1.467,0.4801,1.943,0.4844,0.1018,0.3057,2.789,1.954,1.288
CREB3L3,ENSG00000060566.13,55.05,131.1,346.6,96.53,64.39,98.68,355.3,474.4,237.3,80.68,34.75,666.7,168.6,737.1,662.9,759.9,151.5,1254,884.8,373.7,981.5,168.8,66.06,1094,679.2,166,200.7,1275,393.3,713.9,515.4,577.7,142.7,558.9,311.7,97.91,722.3,390.8,156.9,264,56.16,99.29,1026,106.4,839.9,959.8,265.7,218.2,327,71.73,348.3,285.8,688.5,316.4,99.28,771,312.9,766.8,139.8,111.8,212.8,831.6,128.4,192.9,776.8,412.4,58.97,41.95,362.3,274.8,349.5,136.1,959.7,88.17,115.5,936.9,252.4,253.2,300.6,213.1,1430,453.3,65.45,704.6,1127,156.4,296.1,99.39,298.7,558.7,918.9,363.4,169.5,87.09,58.72,26.74,118.8,972.9,626.4,91.97,50.39,141.8,331.5,311.5,491,134.6,99.45,80.6,191.6,1127,96.49,191.4,83.1,53.2,157.6,1399,622.7,133.6,1020,17.84,477.9,1177,230.8,105,812.7,52.34,413.7,1432,28.78,300.2,486,45.57,374.9,135.5,283.4,584.8,317.1,308.6,203.6,660.9,1050,35.14,1350,83.93,641.5,790.1,997.7,743.4,115.1,127.3,159.9,514.4,171.9,1054,1344,487,96.04,34.27,828.9,420.6,1145,671.9,749,1145,507.9,30.64,839.3,314.2,450.3,59.52,277.2,495.2,524.2,1029,127.5,779.1,436.7,301,339.8,699.2,107.1,1156,605.9,274.8,959.2,297.9,174.9,782.6,753.4,645,207.9,61.23,432.6
